iter	Passed	Remaining
0	66	6624
1	81	4013
2	99	3212
3	116	2785
4	134	2549
5	149	2342
6	165	2199
7	181	2082
8	197	2000
9	218	1970
10	246	1990
11	289	2119
12	318	2130
13	340	2091
14	383	2173
15	424	2228
16	446	2178
17	469	2136
18	486	2075
19	507	2030
20	540	2034
21	557	1978
22	572	1915
23	588	1862
24	608	1826
25	627	1786
26	648	1753
27	664	1707
28	687	1683
29	702	1639
30	717	1596
31	733	1559
32	749	1521
33	765	1485
34	780	1450
35	796	1416
36	812	1383
37	829	1353
38	846	1324
39	863	1295
40	882	1269
41	898	1240
42	914	1212
43	932	1186
44	948	1159
45	964	1132
46	982	1107
47	996	1079
48	1013	1054
49	1030	1030
50	1047	1006
51	1084	1000
52	1109	983
53	1125	958
54	1141	934
55	1158	910
56	1175	886
57	1191	862
58	1206	838
59	1223	815
60	1238	791
61	1255	769
62	1270	745
63	1288	724
64	1304	702
65	1319	679
66	1335	657
67	1351	635
68	1367	614
69	1384	593
70	1399	571
71	1416	550
72	1430	529
73	1448	508
74	1467	489
75	1485	469
76	1505	449
77	1522	429
78	1542	410
79	1559	389
80	1576	369
81	1593	349
82	1609	329
83	1637	311
84	1686	297
85	1720	280
86	1736	259
87	1754	239
88	1770	218
89	1786	198
90	1800	178
91	1816	157
92	1831	137
93	1849	118
94	1868	98
95	1907	79
96	1930	59
97	1949	39
98	1968	19
99	1982	0
